,city,H3_L12,pid,lat,lng,year,month, road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
35,Singapore,8c6526ade5b11ff,d3MW1FXZRPhqSJMH1QL-ig,1.387414086110861,103.9798553482407,2021,3,0.000075,0.001131,0.001960,0.000377,0.003241,0.002035,0.001206,0.001658,0.701918,0.028945,0.256586,0.000603,0.000000,0.000151,0.000075,0.000226,0.000075,0.000075,0.000000
36,Singapore,8c6520cac2d01ff,d2Ok_m1sY9wOq349x7u4PA,1.329340740127128,103.6705288543349,2021,7,0.000000,0.000226,0.088644,0.001583,0.000829,0.003467,0.002035,0.009799,0.325934,0.004523,0.563223,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
37,Singapore,8c6526366a4cdff,d5NWJT97PJEUSRGgiBDmKQ,1.376016596988744,103.8996557945577,2021,6,0.000000,0.000678,0.254852,0.002111,0.002186,0.004447,0.001809,0.003844,0.301059,0.003769,0.425432,0.000151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
38,Singapore,8c6526adda8b7ff,CxZVoCUZ3NlnmHVJ68NQYQ,1.347694622288345,103.9353327064342,2021,8,0.000000,0.000905,0.290129,0.003392,0.001658,0.002789,0.001809,0.002714,0.249802,0.002789,0.443900,0.000302,0.000075,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000
39,Singapore,8c652636c0c87ff,cZlYICjy3vfKL6dHr780tw,1.369266690283837,103.8369246285587,2021,6,0.000000,0.000377,0.077112,0.001884,0.008819,0.003317,0.002563,0.002940,0.455131,0.003995,0.443523,0.000302,0.000000,0.000226,0.000075,0.000000,0.000000,0.000000,0.000075
40,Singapore,8c652636201e5ff,da2TNxwobt4EKABS4xzH2A,1.40247700193991,103.892811087543,2021,6,0.000000,0.000754,0.260129,0.004824,0.003694,0.005503,0.002337,0.002789,0.369653,0.001960,0.348321,0.000377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
41,Singapore,8c65263646e1dff,CxR9l-fv32Ytj50lSm3jEQ,1.370917545725846,103.8965028169753,2021,6,0.000075,0.000980,0.163721,0.005879,0.003392,0.020654,0.003995,0.007839,0.333321,0.003543,0.456262,0.000075,0.000075,0.000302,0.000000,0.000226,0.000000,0.000000,0.000000
42,Singapore,8c6520d8a48b9ff,D6x0iiCyAmgHyRunNDrXeg,1.314730971086516,103.7634479689757,2021,3,0.000226,0.000603,0.343421,0.003543,0.010930,0.006332,0.001734,0.004900,0.327743,0.004673,0.296009,0.000226,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,Singapore,8c652634ba4d1ff,D3j6V1MQ7HsHgTB3N1Mj-g,1.447302107975899,103.7728818413004,2021,3,0.000075,0.000603,0.034448,0.001432,0.000829,0.001884,0.001508,0.002111,0.602872,0.020051,0.333622,0.000151,0.000302,0.000452,0.000000,0.000000,0.000000,0.000000,0.000000
44,Singapore,8c6520c8259b3ff,d93yKxyyp9oCg7sRpAxo1Q,1.425090816877412,103.7149533883412,2021,2,0.000302,0.000377,0.005879,0.000905,0.001658,0.001131,0.000829,0.001131,0.262315,0.010327,0.714733,0.000000,0.000075,0.000678,0.000000,0.000000,0.000000,0.000000,0.000000
45,Singapore,8c652634e09bdff,d4VzPINQrPwKSRAOrJGv7A,1.449761710653701,103.821883427426,2021,3,0.000000,0.000603,0.110353,0.001960,0.009347,0.006482,0.002789,0.013794,0.243395,0.002638,0.608751,0.000151,0.000000,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000
46,Singapore,8c6520d90394bff,d79PZWCmxxPmdy6c25mkHg,1.32948381260199,103.8454109997464,2021,6,0.000151,0.000075,0.020654,0.000528,0.000829,0.001281,0.001432,0.001583,0.668526,0.004975,0.300305,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,Singapore,8c6520c120497ff,d7ct9-K8bipDh36HQhQ9bA,1.307995036657424,103.692011932594,2021,2,0.006030,0.000603,0.036483,0.001884,0.013342,0.003015,0.001206,0.002563,0.563299,0.005352,0.362417,0.000226,0.000000,0.001960,0.001960,0.000000,0.000000,0.000000,0.000000
48,Singapore,8c6520d9815d1ff,d7FfuWHM55EPkz2PkIzZKA,1.329667518457602,103.7866675572253,2021,7,0.000151,0.000000,0.008593,0.000603,0.003995,0.001734,0.000754,0.001357,0.365959,0.013417,0.603776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
49,Singapore,8c6520c1340dbff,D3y32IOdqWz0bDgbuf6NOQ,1.30957450067729,103.6780194233038,2021,3,0.067991,0.001206,0.043191,0.001357,0.000754,0.001658,0.001432,0.001960,0.573248,0.003166,0.297592,0.000151,0.000151,0.002337,0.004146,0.000000,0.000000,0.000000,0.000000
50,Singapore,8c6520cb0b157ff,DEot0-3MSML8vTHSRgXmQw,1.379188744817746,103.7603695894,2021,3,0.000075,0.000452,0.187540,0.002563,0.009648,0.004447,0.002186,0.002638,0.179625,0.003694,0.607319,0.000151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
51,Singapore,8c6520d90c585ff,DDmpYjCiyTuUWrJtXtriAQ,1.327281984663421,103.8551618213578,2021,5,0.002714,0.000226,0.131987,0.003317,0.008442,0.004447,0.003166,0.004523,0.610937,0.005503,0.224927,0.000151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
52,Singapore,8c6526ad81b35ff,dedjZ2kwgL1FqfB6ye5vgg,1.374915796417929,103.9521058153133,2021,4,0.000000,0.000226,0.033694,0.001809,0.005352,0.008065,0.003618,0.002789,0.286436,0.005503,0.652244,0.000302,0.000000,0.000151,0.000000,0.000075,0.000075,0.000000,0.000000
53,Singapore,8c6526ac35a47ff,DaaiRM0EFO-GIue-u7KyyQ,1.341222562068386,103.9664440926336,2021,3,0.000000,0.000075,0.010854,0.001206,0.004221,0.003467,0.001281,0.002940,0.237063,0.004447,0.729733,0.000000,0.000226,0.000302,0.004523,0.000000,0.000000,0.000000,0.000000
54,Singapore,8c6520d95c221ff,DDx62VATYkwrPaY2AZBgZw,1.303601926330667,103.8528646217766,2021,2,0.000000,0.000302,0.219500,0.003166,0.003920,0.011156,0.003241,0.006935,0.232013,0.003995,0.515735,0.000302,0.000000,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000
55,Singapore,8c6520cb1c115ff,DcnrT5-aTQw3PI3Gt3hh8g,1.382600877932807,103.7490356859469,2021,8,0.000000,0.000678,0.109599,0.003467,0.001432,0.004900,0.002186,0.004372,0.439679,0.011608,0.422191,0.000151,0.000000,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000
56,Singapore,8c6520d8660adff,DDLX7xTM-LNqtDn937QXnQ,1.290952542675196,103.8321288609758,2021,3,0.000000,0.000302,0.196510,0.002487,0.006030,0.002864,0.003090,0.006332,0.313270,0.003543,0.460634,0.000377,0.000905,0.003920,0.000075,0.000000,0.000000,0.000000,0.000000
57,Singapore,8c6526ac352c7ff,dE6XiApN9IrHTIGS1WLBbQ,1.338165150934596,103.96417123398,2021,3,0.000302,0.001131,0.191535,0.004824,0.021860,0.010779,0.003467,0.004598,0.152942,0.003543,0.605284,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58,Singapore,8c6520ca1a567ff,dE8VjSLaIT178_PSbNwyrg,1.324495095637578,103.6964374087494,2021,7,0.000000,0.000905,0.165831,0.002638,0.001281,0.002940,0.006784,0.003392,0.335205,0.003844,0.470885,0.000377,0.000151,0.001206,0.004221,0.000678,0.000000,0.000000,0.000000
59,Singapore,8c65263416d51ff,DB2UmCrnkgE9uqxU3wXpgA,1.439262732346862,103.8324435730483,2021,4,0.001658,0.001508,0.048996,0.001055,0.001206,0.001508,0.001583,0.003392,0.726492,0.005276,0.207666,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
60,Singapore,8c6526ac1312bff,dBvtuBifCfClfUNg8nWOJg,1.311628836455299,103.9448751797025,2021,6,0.003166,0.000226,0.000151,0.000000,0.000000,0.002111,0.000528,0.000377,0.615837,0.003618,0.324275,0.000302,0.000377,0.001206,0.048166,0.000000,0.000000,0.000000,0.000000
61,Singapore,8c6520d954eddff,DaO_BG-XxsofTjl8_S-Obw,1.313134758043569,103.8454664645005,2021,6,0.000452,0.000226,0.049825,0.002035,0.001131,0.005653,0.001734,0.002563,0.506313,0.006256,0.423397,0.000226,0.000075,0.000000,0.000226,0.000075,0.000151,0.000000,0.000000
62,Singapore,8c6526ac969d5ff,DDwY2HJ9BTsCBikGm6DiwA,1.328798759863196,103.8856685227884,2021,5,0.000000,0.000377,0.332341,0.002412,0.001508,0.001809,0.001055,0.007538,0.160781,0.003241,0.469604,0.000452,0.000151,0.002035,0.000678,0.016131,0.000226,0.000000,0.000000
63,Singapore,8c6526ac14d41ff,DFbDWRvC3FV99aDqu8LqKA,1.322256730657105,103.9545239317246,2021,8,0.001055,0.000151,0.098896,0.002412,0.001809,0.003015,0.002035,0.005729,0.543776,0.003844,0.336637,0.000151,0.000000,0.000377,0.000151,0.000302,0.000000,0.000000,0.000000
64,Singapore,8c65263601b43ff,DDw9ufYj59sQbXaJiPOxwQ,1.378852390886381,103.8908498691692,2021,7,0.074549,0.052237,0.445332,0.006859,0.008518,0.014322,0.002487,0.012663,0.163570,0.053518,0.149550,0.001658,0.000226,0.006030,0.007462,0.000000,0.000151,0.000151,0.000980
65,Singapore,8c6520cb1016bff,DDnUKRMDRf961MoEQP0gmw,1.383267317618913,103.740968167677,2021,3,0.000000,0.000603,0.345984,0.002487,0.007236,0.004297,0.001432,0.002940,0.144047,0.003618,0.487318,0.000226,0.000000,0.000000,0.000075,0.000000,0.000000,0.000075,0.000000
66,Singapore,8c6520ca978cbff,dcxTtxLK4VBKHL2qAVQA3g,1.34447077062048,103.640559595763,2021,2,0.000000,0.000452,0.036634,0.002035,0.001357,0.007764,0.001809,0.002111,0.286813,0.003543,0.657445,0.000151,0.000000,0.000000,0.000151,0.000075,0.000000,0.000000,0.000000
67,Singapore,8c6520d864ecbff,DdG7ETN1KHwE0bc-CALYrQ,1.290541805967827,103.8390905546039,2021,4,0.000000,0.000226,0.302190,0.002789,0.002412,0.001734,0.001809,0.002940,0.558173,0.002638,0.123997,0.000000,0.000075,0.000980,0.000377,0.000000,0.000000,0.000000,0.000000
68,Singapore,8c6526acb0cd1ff,DETliwd-5z1zQnBGRfC4mA,1.341346881782758,103.8918376868276,2021,3,0.000000,0.000754,0.068217,0.002035,0.024649,0.005352,0.002563,0.004749,0.269400,0.006784,0.607847,0.000678,0.000151,0.000678,0.003090,0.003317,0.000075,0.000000,0.000000
69,Singapore,8c6520d9b9167ff,DBfCn6Js4JyQzhboSkPMsA,1.340009312119313,103.7792373870264,2021,2,0.000754,0.000603,0.078544,0.003467,0.006558,0.005276,0.003543,0.004598,0.354728,0.006332,0.534203,0.000377,0.000226,0.000075,0.000075,0.000980,0.000000,0.000000,0.000000
70,Singapore,8c652634e0257ff,dcBGGU7c2YG2XB8OEjIrow,1.443644786209531,103.821927473127,2021,7,0.000000,0.000377,0.029699,0.001432,0.000829,0.004221,0.001206,0.003090,0.292391,0.007236,0.659707,0.000151,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
71,Singapore,8c6526aca976dff,dFjwhMmoSLwjP-ctSDecZQ,1.334108469019643,103.9229332074979,2021,6,0.008141,0.000528,0.006181,0.000528,0.000302,0.002035,0.000603,0.001055,0.722346,0.005427,0.253043,0.000075,0.000000,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000
72,Singapore,8c6520c1c21e7ff,dgPS-LWTx9cwKPA9WvAEJg,1.276443001441764,103.6359548359711,2021,2,0.000000,0.000377,0.022613,0.000754,0.002487,0.002186,0.001055,0.001583,0.419327,0.002563,0.546414,0.000151,0.000151,0.000528,0.000075,0.000000,0.000000,0.000075,0.000000
73,Singapore,8c6520c91b4e1ff,DgYNuu0uZqR726qn15pIzw,1.42772751712322,103.7073708671004,2021,2,0.000000,0.000000,0.000000,0.000000,0.000000,0.000452,0.000302,0.000075,0.512494,0.002789,0.484227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
74,Singapore,8c6526aca19c7ff,DGAs-XA_twpYPM2fSF0vBw,1.34701118279843,103.9213660451696,2021,8,0.000000,0.000226,0.099499,0.002035,0.000905,0.001658,0.002035,0.002337,0.531188,0.057890,0.301888,0.000226,0.000000,0.000377,0.000000,0.000075,0.000000,0.000000,0.000000
75,Singapore,8c6520d913ac7ff,dhCgi0727skV_5_S2lMf7Q,1.32183218116468,103.821194264428,2021,2,0.000226,0.000603,0.010779,0.000603,0.000528,0.004673,0.001357,0.005653,0.402970,0.004221,0.564429,0.000226,0.000000,0.000377,0.003694,0.000000,0.000000,0.000000,0.000000
76,Singapore,8c65263488969ff,DfHWEzhO2vhiw5zvOwrbFw,1.435287975622823,103.8047077585532,2021,3,0.000000,0.000226,0.568575,0.001432,0.001734,0.000905,0.000980,0.001131,0.150454,0.001884,0.268571,0.000226,0.000678,0.000678,0.002864,0.000000,0.000000,0.000000,0.000000
77,Singapore,8c6526ac8cb43ff,dHXgHSsYGXcoS53ZIKLjDw,1.324817695877651,103.9229401998471,2021,8,0.000000,0.000754,0.344929,0.001734,0.001508,0.002035,0.002337,0.002940,0.327517,0.002940,0.312140,0.001357,0.000000,0.000075,0.000000,0.000000,0.000075,0.000000,0.000000
78,Singapore,8c6526adc80dbff,dhoJa2AoPu9y_RX4lDRuvg,1.348591388953305,103.9660475282982,2021,6,0.000151,0.000678,0.005955,0.040930,0.004070,0.003543,0.002638,0.003467,0.512042,0.009874,0.416689,0.000151,0.000000,0.000151,0.000000,0.000000,0.000000,0.000000,0.000000
79,Singapore,8c6520d9580edff,DIKALpeNFuqMFvcDv01ABw,1.297105489575685,103.8463769035415,2021,2,0.000302,0.000302,0.005653,0.004523,0.000226,0.003317,0.000829,0.002714,0.639129,0.050729,0.291863,0.000075,0.000000,0.000000,0.000000,0.000000,0.000000,0.000075,0.000603
