,city,H3_L12,pid,lat,lng,year,month, road,sidewalk,building,wall,fence,pole,traffic light,traffic sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
41,Singapore,8c652634e09bdff,d4VzPINQrPwKSRAOrJGv7A,1.449761710653701,103.821883427426,2021,3,0.000000,0.000473,0.086627,0.001538,0.007337,0.005089,0.002189,0.010828,0.191065,0.002071,0.477870,0.000118,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000
42,Singapore,8c6526366a4cdff,d5NWJT97PJEUSRGgiBDmKQ,1.376016596988744,103.8996557945577,2021,6,0.000000,0.000533,0.200059,0.001657,0.001716,0.003491,0.001420,0.003018,0.236331,0.002959,0.333964,0.000118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
43,Singapore,8c6520d9815d1ff,d7FfuWHM55EPkz2PkIzZKA,1.329667518457602,103.7866675572253,2021,7,0.000118,0.000000,0.006746,0.000473,0.003136,0.001361,0.000592,0.001065,0.287278,0.010533,0.473964,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44,Singapore,8c652634ba4d1ff,D3j6V1MQ7HsHgTB3N1Mj-g,1.447302107975899,103.7728818413004,2021,3,0.000059,0.000473,0.027041,0.001124,0.000651,0.001479,0.001183,0.001657,0.473254,0.015740,0.261893,0.000118,0.000237,0.000355,0.000000,0.000000,0.000000,0.000000,0.000000
45,Singapore,8c6520d90394bff,d79PZWCmxxPmdy6c25mkHg,1.32948381260199,103.8454109997464,2021,6,0.000118,0.000059,0.016213,0.000414,0.000651,0.001006,0.001124,0.001243,0.524793,0.003905,0.235740,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
46,Singapore,8c652636201e5ff,da2TNxwobt4EKABS4xzH2A,1.40247700193991,103.892811087543,2021,6,0.000000,0.000592,0.204201,0.003787,0.002899,0.004320,0.001834,0.002189,0.290178,0.001538,0.273432,0.000296,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
47,Singapore,8c6526ade5b11ff,d3MW1FXZRPhqSJMH1QL-ig,1.387414086110861,103.9798553482407,2021,3,0.000059,0.000888,0.001538,0.000296,0.002544,0.001598,0.000947,0.001302,0.551006,0.022722,0.201420,0.000473,0.000000,0.000118,0.000059,0.000178,0.000059,0.000059,0.000000
48,Singapore,8c6520c8259b3ff,d93yKxyyp9oCg7sRpAxo1Q,1.425090816877412,103.7149533883412,2021,2,0.000237,0.000296,0.004615,0.000710,0.001302,0.000888,0.000651,0.000888,0.205917,0.008107,0.561065,0.000000,0.000059,0.000533,0.000000,0.000000,0.000000,0.000000,0.000000
49,Singapore,8c6526366755bff,d7V9f2d5UCB_SFqtMvVZ8w,1.389570116981278,103.9047788189955,2021,6,0.000059,0.000473,0.093550,0.001775,0.001479,0.002663,0.002544,0.002189,0.471834,0.002189,0.206450,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
50,Singapore,8c6520d954eddff,DaO_BG-XxsofTjl8_S-Obw,1.313134758043569,103.8454664645005,2021,6,0.000355,0.000178,0.039112,0.001598,0.000888,0.004438,0.001361,0.002012,0.397456,0.004911,0.332367,0.000178,0.000059,0.000000,0.000178,0.000059,0.000118,0.000000,0.000000
51,Singapore,8c652636edab9ff,DA9t42BSOAoPA1dq_HkyJw,1.388526434338564,103.858340207409,2021,8,0.000000,0.000000,0.000237,0.000237,0.000059,0.001183,0.001124,0.000414,0.280355,0.002781,0.498817,0.000000,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000
52,Singapore,8c6526ac35a47ff,DaaiRM0EFO-GIue-u7KyyQ,1.341222562068386,103.9664440926336,2021,3,0.000000,0.000059,0.008521,0.000947,0.003314,0.002722,0.001006,0.002308,0.186095,0.003491,0.572840,0.000000,0.000178,0.000237,0.003550,0.000000,0.000000,0.000000,0.000000
53,Singapore,8c6520d8660adff,DDLX7xTM-LNqtDn937QXnQ,1.290952542675196,103.8321288609758,2021,3,0.000000,0.000237,0.154260,0.001953,0.004734,0.002249,0.002426,0.004970,0.245917,0.002781,0.361598,0.000296,0.000710,0.003077,0.000059,0.000000,0.000000,0.000000,0.000000
54,Singapore,8c65263416d51ff,DB2UmCrnkgE9uqxU3wXpgA,1.439262732346862,103.8324435730483,2021,4,0.001302,0.001183,0.038462,0.000828,0.000947,0.001183,0.001243,0.002663,0.570296,0.004142,0.163018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
55,Singapore,8c6520d9b9167ff,DBfCn6Js4JyQzhboSkPMsA,1.340009312119313,103.7792373870264,2021,2,0.000592,0.000473,0.061657,0.002722,0.005148,0.004142,0.002781,0.003609,0.278462,0.004970,0.419349,0.000296,0.000178,0.000059,0.000059,0.000769,0.000000,0.000000,0.000000
56,Singapore,8c6520d95c221ff,DDx62VATYkwrPaY2AZBgZw,1.303601926330667,103.8528646217766,2021,2,0.000000,0.000237,0.172308,0.002485,0.003077,0.008757,0.002544,0.005444,0.182130,0.003136,0.404852,0.000237,0.000000,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000
57,Singapore,8c6526ac352c7ff,dE6XiApN9IrHTIGS1WLBbQ,1.338165150934596,103.96417123398,2021,3,0.000237,0.000888,0.150355,0.003787,0.017160,0.008462,0.002722,0.003609,0.120059,0.002781,0.475148,0.000059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
